date,evaporation_m3
1951-02-17,194610.848225
1951-02-18,194610.848225
1951-02-19,194610.848225
1951-02-20,194610.848225
1951-02-21,194610.848225
1951-02-22,194610.848225
1951-02-23,194610.848225
1951-02-24,194610.848225
1951-02-25,194610.848225
1951-02-26,194610.848225
1951-02-27,194610.848225
1951-02-28,194610.848225
1951-03-01,198958.910281
1951-03-02,198958.910281
1951-03-03,198958.910281
1951-03-04,198958.910281
1951-03-05,198958.910281
1951-03-06,198958.910281
1951-03-07,198958.910281
1951-03-08,198958.910281
1951-03-09,198958.910281
1951-03-10,198958.910281
1951-03-11,198958.910281
1951-03-12,198958.910281
1951-03-13,198958.910281
1951-03-14,198958.910281
1951-03-15,198958.910281
1951-03-16,198958.910281
1951-03-17,198958.910281
1951-03-18,198958.910281
1951-03-19,198958.910281
1951-03-20,198958.910281
1951-03-21,198958.910281
1951-03-22,198958.910281
1951-03-23,198958.910281
1951-03-24,198958.910281
1951-03-25,198958.910281
1951-03-26,198958.910281
1951-03-27,198958.910281
1951-03-28,198958.910281
1951-03-29,198958.910281
1951-03-30,198958.910281
1951-03-31,198958.910281
1951-04-01,184773.877263
1951-04-02,184773.877263
1951-04-03,184773.877263
1951-04-04,184773.877263
1951-04-05,184773.877263
1951-04-06,184773.877263
1951-04-07,184773.877263
1951-04-08,184773.877263
1951-04-09,184773.877263
1951-04-10,184773.877263
1951-04-11,184773.877263
1951-04-12,184773.877263
1951-04-13,184773.877263
1951-04-14,184773.877263
1951-04-15,184773.877263
1951-04-16,184773.877263
1951-04-17,184773.877263
1951-04-18,184773.877263
1951-04-19,184773.877263
1951-04-20,184773.877263
1951-04-21,184773.877263
1951-04-22,184773.877263
1951-04-23,184773.877263
1951-04-24,184773.877263
1951-04-25,184773.877263
1951-04-26,184773.877263
1951-04-27,184773.877263
1951-04-28,184773.877263
1951-04-29,184773.877263
1951-04-30,184773.877263
1951-05-01,87406.918887
1951-05-02,87406.918887
1951-05-03,87406.918887
1951-05-04,87406.918887
1951-05-05,87406.918887
1951-05-06,87406.918887
1951-05-07,87406.918887
1951-05-08,87406.918887
1951-05-09,87406.918887
1951-05-10,87406.918887
1951-05-11,87406.918887
1951-05-12,87406.918887
1951-05-13,87406.918887
1951-05-14,87406.918887
1951-05-15,87406.918887
1951-05-16,87406.918887
1951-05-17,87406.918887
1951-05-18,87406.918887
1951-05-19,87406.918887
1951-05-20,87406.918887
1951-05-21,87406.918887
1951-05-22,87406.918887
1951-05-23,87406.918887
1951-05-24,87406.918887
1951-05-25,87406.918887
1951-05-26,87406.918887
1951-05-27,87406.918887
1951-05-28,87406.918887
1951-05-29,87406.918887
1951-05-30,87406.918887
1951-05-31,87406.918887
1951-06-01,105702.923611
1951-06-02,105702.923611
1951-06-03,105702.923611
1951-06-04,105702.923611
1951-06-05,105702.923611
1951-06-06,105702.923611
1951-06-07,105702.923611
1951-06-08,105702.923611
1951-06-09,105702.923611
1951-06-10,105702.923611
1951-06-11,105702.923611
1951-06-12,105702.923611
1951-06-13,105702.923611
1951-06-14,105702.923611
1951-06-15,105702.923611
1951-06-16,105702.923611
1951-06-17,105702.923611
1951-06-18,105702.923611
1951-06-19,105702.923611
1951-06-20,105702.923611
1951-06-21,105702.923611
1951-06-22,105702.923611
1951-06-23,105702.923611
1951-06-24,105702.923611
1951-06-25,105702.923611
1951-06-26,105702.923611
1951-06-27,105702.923611
1951-06-28,105702.923611
1951-06-29,105702.923611
1951-06-30,105702.923611
1951-07-01,103170.728131
1951-07-02,103170.728131
1951-07-03,103170.728131
1951-07-04,103170.728131
1951-07-05,103170.728131
1951-07-06,103170.728131
1951-07-07,103170.728131
1951-07-08,103170.728131
1951-07-09,103170.728131
1951-07-10,103170.728131
1951-07-11,103170.728131
1951-07-12,103170.728131
1951-07-13,103170.728131
1951-07-14,103170.728131
1951-07-15,103170.728131
1951-07-16,103170.728131
1951-07-17,103170.728131
1951-07-18,103170.728131
1951-07-19,103170.728131
1951-07-20,103170.728131
1951-07-21,103170.728131
1951-07-22,103170.728131
1951-07-23,103170.728131
1951-07-24,103170.728131
1951-07-25,103170.728131
1951-07-26,103170.728131
1951-07-27,103170.728131
1951-07-28,103170.728131
1951-07-29,103170.728131
1951-07-30,103170.728131
1951-07-31,103170.728131
1951-08-01,118136.237706
1951-08-02,118136.237706
1951-08-03,118136.237706
1951-08-04,118136.237706
1951-08-05,118136.237706
1951-08-06,118136.237706
1951-08-07,118136.237706
1951-08-08,118136.237706
1951-08-09,118136.237706
1951-08-10,118136.237706
1951-08-11,118136.237706
1951-08-12,118136.237706
