# era5_prcp_-0.17_31.37  era5_prcp_-1.86_34.52  era5_prcp_-1.94_35.1  era5_prcp_-1.83_30.42
2.907 0.021 0.283 0.830
2.411 1.286 2.368 0.529
4.395 1.315 0.980 2.734
6.862 2.738 0.402 7.551
4.023 0.138 0.323 9.527
4.913 0.002 0.002 1.579
0.578 0.001 0.039 0.001
0.001 0.008 0.099 0.001
4.749 0.001 0.038 0.003
7.606 1.340 0.556 1.307
1.779 0.031 0.105 0.235
12.365 0.041 0.068 0.805
0.068 0.001 0.001 0.001
0.074 0.000 0.000 0.000
0.924 0.059 0.156 0.069
0.026 2.330 0.827 0.122
4.595 0.203 0.186 0.455
5.505 0.102 0.540 0.404
4.782 0.118 0.005 9.862
3.174 0.530 0.001 0.602
4.157 0.010 0.011 0.100
6.746 0.094 0.090 0.867
4.902 5.547 9.790 0.204
0.441 0.589 0.954 0.255
3.247 7.016 0.334 0.197
1.823 0.341 0.026 3.913
1.157 0.064 0.072 8.348
18.579 3.466 0.256 10.157
8.673 0.546 0.048 3.586
4.980 0.041 0.016 1.821
4.979 0.011 0.048 10.323
3.047 0.156 0.632 3.213
6.491 0.172 0.109 2.043
0.280 1.171 0.272 1.742
8.795 5.772 4.868 4.780
8.909 1.897 1.394 4.716
5.622 1.295 0.496 9.427
7.301 3.027 0.820 15.271
0.665 2.186 1.943 0.272
4.698 0.096 0.460 8.749
0.846 0.018 0.000 1.294
0.549 0.001 0.001 0.489
0.793 0.002 0.002 0.233
4.696 0.300 0.594 0.129
4.519 3.200 1.444 0.597
4.894 14.288 7.641 6.734
1.582 1.511 0.381 2.458
5.289 0.615 0.209 1.867
6.816 3.305 2.608 3.573
5.283 0.128 0.080 3.063
3.820 2.721 0.149 14.839
5.707 3.256 2.383 2.442
5.727 5.060 8.008 1.720
8.041 0.435 0.202 8.989
0.992 0.815 0.207 2.513
6.400 3.849 0.620 9.439
8.359 1.624 0.066 11.982
4.713 13.184 3.473 10.174
4.205 0.083 0.073 5.219
5.757 0.109 0.353 1.424
0.759 1.776 0.554 9.775
7.444 7.971 3.228 12.019
7.316 2.133 0.669 14.498
1.972 4.029 0.358 0.282
0.546 0.806 0.332 0.098
3.910 1.158 0.682 0.485
7.420 0.272 0.028 9.797
3.359 0.117 0.142 4.098
1.671 0.015 0.456 0.246
4.202 1.997 0.360 0.547
5.158 0.111 0.135 0.489
0.512 0.116 0.064 1.209
1.400 4.379 7.424 0.162
3.181 7.611 8.238 4.419
