# Cairo	Aswand	Merowe	Karthoum	Singa	Kashm	Tsengh	Ozentari	Tana	Roseires	GERD	SouthWest	Victoria
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	10889.14287
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	9977.53181
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	9447.14512
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	6.07402	0.00000	0.00000	0.00000	0.00000	9274.04175
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	74.84003	0.00000	0.00000	0.00000	0.00000	10836.50367
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	103.79031	0.00000	0.00000	0.00000	0.00000	12800.05828
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	267.31718	0.00000	0.00000	201.37921	0.00000	13840.08925
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	275.88689	0.00000	0.00000	400.79768	0.00000	13841.38944
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	265.87418	0.00000	0.00000	239.11072	0.00000	13478.79682
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	258.37259	20.40220	0.00000	151.53111	0.00000	12795.22197
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	136.83573	397.93258	10.40895	0.00000	607.72877	0.00000	13357.92914
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	278.92048	454.63762	1.23985	0.00000	1477.10726	3362.23562	14268.81942
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	201.32719	545.03615	10.79311	0.00000	2851.88619	3773.58378	14528.60628
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	101.84365	546.76106	0.81871	0.00000	3112.34945	1671.30718	14317.60062
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	548.89796	58.07464	0.00000	3267.35553	330.28270	14053.94712
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	803.59983	42.40092	0.00000	3358.73689	0.00000	13866.64254
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	839.87449	21.24069	0.00000	3331.31959	0.00000	13378.39696
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	943.18537	1.02616	0.00000	3072.31021	0.00000	13700.43056
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	920.03303	0.00000	0.00000	2697.45277	0.00000	13596.60214
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	868.75099	0.00000	0.00000	2349.12855	872.70255	13055.65551
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	794.25710	0.00000	0.00000	1997.48920	305.61664	12611.19795
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	737.78589	0.00000	0.00000	1885.89670	3817.68444	12915.92165
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	978.89850	0.00000	0.00000	2264.20680	2334.19942	12494.07048
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	939.33280	0.00000	0.00000	2328.05130	165.46456	12094.18429
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	933.42426	0.00000	0.00000	2366.67333	0.00000	11889.48205
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	916.21813	0.00000	0.00000	2165.73112	0.00000	11216.05038
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	929.76206	0.00000	0.00000	2264.42578	0.00000	10699.70187
