date,water_m3_s,water_m3_day
2006-07-22,1071.287419,92559233.001600
2006-07-23,1066.874569,92177962.761600
2006-07-24,1062.443628,91795129.459200
2006-07-25,1058.007673,91411862.947200
2006-07-26,1053.579778,91029292.819200
2006-07-27,1049.173018,90648548.755200
2006-07-28,1044.800468,90270760.435200
2006-07-29,1040.475203,89897057.539200
2006-07-30,1036.210297,89528569.660800
2006-07-31,1032.018826,89166426.566400
2006-08-01,1027.913865,88811757.936000
2006-08-02,1023.908488,88465693.363200
2006-08-03,1020.015770,88129362.528000
2006-08-04,1016.248787,87803895.196800
2006-08-05,1012.620612,87490420.876800
2006-08-06,1009.144322,87190069.420800
2006-08-07,1005.832990,86903970.336000
2006-08-08,1002.699692,86633253.388800
2006-08-09,999.757503,86379048.259200
2006-08-10,997.019498,86142484.627200
2006-08-11,994.498751,85924692.086400
2006-08-12,992.208337,85726800.316800
2006-08-13,990.161332,85549939.084800
2006-08-14,988.370810,85395237.984000
2006-08-15,986.849846,85263826.694400
2006-08-16,985.451048,85142970.547200
2006-08-17,984.016978,85019066.899200
2006-08-18,982.545564,84891936.729600
2006-08-19,981.034651,84761393.846400
2006-08-20,979.482010,84627245.664000
2006-08-21,977.885352,84489294.412800
2006-08-22,976.242337,84347337.916800
2006-08-23,974.550589,84201170.889600
2006-08-24,972.807701,84050585.366400
2006-08-25,971.011252,83895372.172800
2006-08-26,969.158807,83735320.924800
2006-08-27,967.247934,83570221.497600
2006-08-28,965.276207,83399864.284800
2006-08-29,963.241215,83224040.976000
2006-08-30,961.140567,83042544.988800
2006-08-31,958.971902,82855172.332800
2006-09-01,956.732888,82661721.523200
2006-09-02,954.421236,82461994.790400
2006-09-03,952.034694,82255797.561600
2006-09-04,949.571058,82042939.411200
2006-09-05,947.028173,81823234.147200
2006-09-06,944.403935,81596499.984000
2006-09-07,941.696291,81362559.542400
2006-09-08,938.903245,81121240.368000
2006-09-09,936.022854,80872374.585600
2006-09-10,933.053231,80615799.158400
2006-09-11,929.992543,80351355.715200
2006-09-12,926.839008,80078890.291200
2006-09-13,923.590899,79798253.673600
2006-09-14,920.246534,79509300.537600
2006-09-15,916.804278,79211889.619200
2006-09-16,912.885410,78873299.424000
2006-09-17,908.152716,78464394.662400
2006-09-18,902.667246,77990450.054400
2006-09-19,896.490401,77456770.646400
2006-09-20,889.683747,76868675.740800
2006-09-21,882.308845,76231484.208000
2006-09-22,874.427079,75550499.625600
2006-09-23,866.099509,74830997.577600
2006-09-24,857.386725,74078213.040000
2006-09-25,848.348715,73297328.976000
2006-09-26,839.044750,72493466.400000
2006-09-27,829.533270,71671674.528000
2006-09-28,819.871785,70836922.224000
2006-09-29,810.116796,69994091.174400
2006-09-30,800.323707,69147968.284800
2006-10-01,790.546774,68303241.273600
2006-10-02,780.839038,67464492.883200
2006-10-03,771.252293,66636198.115200
2006-10-04,761.837047,65822720.860800
2006-10-05,752.642506,65028312.518400
2006-10-06,743.716564,64257111.129600
2006-10-07,735.105801,63513141.206400
2006-10-08,726.855501,62800315.286400
2006-10-09,719.009672,62122435.660800
2006-10-10,711.611083,61483197.571200
2006-10-11,704.701308,60886193.011200
2006-10-12,698.320786,60334915.910400
2006-10-13,692.508884,59832767.577600
2006-10-14,687.303983,59383064.131200
2006-10-15,682.743562,58989043.756800
2006-10-16,678.408633,58614505.891200
2006-10-17,673.864667,58221907.228800
2006-10-18,669.125222,57812419.180800
2006-10-19,664.203854,57387212.985600
2006-10-20,659.114122,56947460.140800
2006-10-21,653.869582,56494331.884800
2006-10-22,648.483792,56028999.628800
2006-10-23,642.970308,55552634.611200
2006-10-24,637.342689,55066408.329600
2006-10-25,631.614492,54571492.108800
2006-10-26,625.799273,54069057.187200
2006-10-27,619.910590,53560274.976000
2006-10-28,613.962001,53046316.886400
2006-10-29,607.967062,52528354.156800
2006-10-30,601.939330,52007558.112000
2006-10-31,595.892364,51485100.249600
2006-11-01,589.839720,50962151.808000
2006-11-02,583.794956,50439884.198400
2006-11-03,577.771629,49919468.745600
2006-11-04,571.783296,49402076.774400
2006-11-05,565.843514,48888879.609600
2006-11-06,559.965841,48381048.662400
2006-11-07,554.163833,47879755.171200
2006-11-08,548.451049,47386170.633600
2006-11-09,542.841045,46901466.288000
2006-11-10,537.347380,46426813.632000
2006-11-11,531.983609,45963383.817600
2006-11-12,526.763290,45512348.256000
2006-11-13,521.699981,45074878.358400
2006-11-14,516.807238,44652145.363200
2006-11-15,512.098620,44245320.768000
2006-11-16,507.492181,43847324.438400
2006-11-17,502.899981,43450558.358400
2006-11-18,498.326732,43055429.644800
2006-11-19,493.777431,42662370.038400
2006-11-20,489.257460,42271844.544000
2006-11-21,484.772673,41884358.947200
2006-11-22,480.329477,41500466.812800
2006-11-23,475.934893,41120774.755200
2006-11-24,471.596618,40745947.795200
2006-11-25,467.323063,40376712.643200
2006-11-26,463.123390,40013860.896000
2006-11-27,459.007534,39658250.937600
2006-11-28,454.986215,39310808.976000
2006-11-29,451.070936,38972528.870400
2006-11-30,447.273976,38644471.526400
2006-12-01,443.608365,38327762.736000
2006-12-02,440.087856,38023590.758400
2006-12-03,436.726875,37733202.000000
2006-12-04,433.540474,37457896.953600
2006-12-05,430.544260,37199024.064000
2006-12-06,427.754321,36957973.334400
2006-12-07,425.187139,36736168.809600
2006-12-08,422.859489,36535059.849600
2006-12-09,420.788333,36356111.971200
2006-12-10,418.990698,36200796.307200
2006-12-11,417.483543,36070578.115200
2006-12-12,416.283622,35966904.940800
2006-12-13,415.407322,35891192.620800
2006-12-14,414.870508,35844811.891200
2006-12-15,414.688343,35829072.835200
2006-12-16,414.767183,35835884.611200
2006-12-17,414.999286,35855938.310400
2006-12-18,415.378021,35888661.014400
2006-12-19,415.896760,35933480.064000
2006-12-20,416.548875,35989822.800000
2006-12-21,417.327735,36057116.304000
2006-12-22,418.226713,36134788.003200
2006-12-23,419.239180,36222265.152000
2006-12-24,420.358505,36318974.832000
2006-12-25,421.578062,36424344.556800
2006-12-26,422.891220,36537801.408000
2006-12-27,424.291351,36658772.726400
2006-12-28,425.771825,36786685.680000
2006-12-29,427.326015,36920967.696000
2006-12-30,428.947291,37061045.942400
2006-12-31,430.629023,37206347.587200
2007-01-01,432.364584,37356300.057600
2007-01-02,434.147345,37510330.608000
2007-01-03,435.970675,37667866.320000
2007-01-04,437.827948,37828334.707200
2007-01-05,439.712533,37991162.851200
2007-01-06,441.617801,38155778.006400
2007-01-07,443.537124,38321607.513600
2007-01-08,445.463873,38488078.627200
2007-01-09,447.391420,38654618.688000
2007-01-10,449.313134,38820654.777600
2007-01-11,451.222387,38985614.236800
2007-01-12,453.112551,39148924.406400
2007-01-13,454.976996,39310012.454400
2007-01-14,456.809093,39468305.635200
2007-01-15,458.602214,39623231.289600
2007-01-16,460.372199,39776157.993600
2007-01-17,462.142047,39929072.860800
2007-01-18,463.915866,40082330.822400
2007-01-19,465.697761,40236286.550400
2007-01-20,467.491840,40391294.976000
2007-01-21,469.302211,40547711.030400
2007-01-22,471.132981,40705889.558400
2007-01-23,472.988256,40866185.318400
2007-01-24,474.872143,41028953.155200
2007-01-25,476.788751,41194548.086400
2007-01-26,478.742185,41363324.784000
2007-01-27,480.736553,41535638.179200
2007-01-28,482.775962,41711843.116800
2007-01-29,484.864520,41892294.528000
2007-01-30,487.006333,42077347.171200
2007-01-31,489.205508,42267355.891200
2007-02-01,491.466153,42462675.619200
2007-02-02,493.792374,42663661.113600
2007-02-03,496.188280,42870667.392000
2007-02-04,498.657976,43084049.126400
2007-02-05,501.205570,43304161.248000
2007-02-06,503.835169,43531358.601600
2007-02-07,506.550881,43765996.118400
2007-02-08,509.356811,44008428.470400
2007-02-09,512.257069,44259010.761600
2007-02-10,515.255759,44518097.577600
2007-02-11,518.356991,44786044.022400
2007-02-12,521.564870,45063204.768000
2007-02-13,524.883504,45349934.745600
2007-02-14,528.317000,45646588.800000
2007-02-15,531.869465,45953521.776000
2007-02-16,535.740165,46287950.256000
2007-02-17,540.099736,46664617.190400
2007-02-18,544.908862,47080125.676800
2007-02-19,550.127744,47531037.081600
2007-02-20,555.716292,48013887.628800
2007-02-21,561.634296,48525203.174400
2007-02-22,567.841593,49061513.635200
2007-02-23,574.298210,49619365.344000
2007-02-24,580.964508,50195333.491200
2007-02-25,587.801296,50786031.974400
2007-02-26,594.769948,51388123.507200
2007-02-27,601.832495,51998327.568000
2007-02-28,608.951712,52613427.916800
2007-03-01,616.091185,53230278.384000
2007-03-02,623.215372,53845808.140800
2007-03-03,630.289646,54457025.414400
2007-03-04,637.280325,55061020.080000
2007-03-05,644.154692,55654965.388800
2007-03-06,650.881000,56236118.400000
2007-03-07,657.428464,56801819.289600
2007-03-08,663.767238,57349489.363200
2007-03-09,669.868385,57876628.464000
2007-03-10,675.703825,58380810.480000
2007-03-11,681.246280,58859678.592000
2007-03-12,686.469195,59310938.448000
2007-03-13,691.346657,59732351.164800
2007-03-14,695.853293,60121724.515200
2007-03-15,699.964155,60476902.992000
2007-03-16,703.796198,60807991.507200
2007-03-17,707.487474,61126917.753600
2007-03-18,711.044874,61434277.113600
2007-03-19,714.475216,61730658.662400
2007-03-20,717.785249,62016645.513600
2007-03-21,720.981649,62292814.473600
2007-03-22,724.071026,62559736.646400
2007-03-23,727.059921,62817977.174400
2007-03-24,729.954813,63068095.843200
2007-03-25,732.762114,63310646.649600
2007-03-26,735.488172,63546178.060800
2007-03-27,738.139276,63775233.446400
2007-03-28,740.721652,63998350.732800
2007-03-29,743.241465,64216062.576000
2007-03-30,745.704820,64428896.448000
2007-03-31,748.117766,64637374.982400
2007-04-01,750.486289,64842015.369600
2007-04-02,752.816320,65043330.048000
2007-04-03,755.113732,65241826.444800
2007-04-04,757.384337,65438006.716800
2007-04-05,759.633894,65632368.441600
2007-04-06,761.868101,65825403.926400
2007-04-07,764.092599,66017600.553600
2007-04-08,766.312974,66209440.953600
2007-04-09,768.534750,66401402.400000
2007-04-10,770.763394,66593957.241600
2007-04-11,773.004315,66787572.816000
2007-04-12,775.262861,66982711.190400
2007-04-13,777.544320,67179829.248000
2007-04-14,779.853920,67379378.688000
2007-04-15,782.196826,67581805.766400
2007-04-16,784.548796,67785015.974400
2007-04-17,786.880767,67986498.268800
2007-04-18,789.190801,68186085.206400
2007-04-19,791.477213,68383631.203200
2007-04-20,793.738592,68579014.348800
2007-04-21,795.973820,68772138.048000
2007-04-22,798.182084,68962932.057600
2007-04-23,800.362894,69151354.041600
2007-04-24,802.516086,69337389.830400
2007-04-25,804.641835,69521054.544000
2007-04-26,806.740656,69702392.678400
2007-04-27,808.813404,69881478.105600
2007-04-28,810.861276,70058414.246400
2007-04-29,812.885805,70233333.552000
2007-04-30,814.888851,70406396.726400
2007-05-01,816.872595,70577792.208000
2007-05-02,818.839524,70747734.873600
2007-05-03,820.792414,70916464.569600
2007-05-04,822.734317,71084244.988800
2007-05-05,824.668535,71251361.424000
2007-05-06,826.598596,71418118.694400
2007-05-07,828.528232,71584839.244800
2007-05-08,830.461345,71751860.208000
2007-05-09,832.401978,71919530.899200
2007-05-10,834.354278,72088209.619200
2007-05-11,836.322457,72258260.284800
2007-05-12,838.310757,72430049.404800
2007-05-13,840.323400,72603941.760000
2007-05-14,842.364545,72780296.688000
2007-05-15,844.438240,72959463.936000
2007-05-16,847.037248,73184018.227200
2007-05-17,850.615592,73493187.148800
2007-05-18,855.118692,73882254.988800
2007-05-19,860.491386,74346455.750400
2007-05-20,866.677870,74880967.968000
2007-05-21,873.621655,75480910.992000
2007-05-22,881.265520,76141340.928000
2007-05-23,889.551480,76857247.872000
2007-05-24,898.420761,77623553.750400
2007-05-25,907.813773,78435109.987200
2007-05-26,917.670105,79286697.072000
2007-05-27,927.928510,80173023.264000
2007-05-28,938.526912,81088725.196800
2007-05-29,949.402410,82028368.224000
2007-05-30,960.491292,82986447.628800
2007-05-31,971.729062,83957390.956800
2007-06-01,983.050461,84935559.830400
2007-06-02,994.389507,85915253.404800
2007-06-03,1005.679537,86890711.996800
2007-06-04,1016.853255,87856121.232000
2007-06-05,1027.842791,88805617.142400
2007-06-06,1038.579762,89733291.436800
2007-06-07,1048.995344,90633197.721600
2007-06-08,1059.020348,91499358.067200
2007-06-09,1068.585309,92325770.697600
2007-06-10,1077.620570,93106417.248000
2007-06-11,1086.056386,93835271.750400
2007-06-12,1093.823031,94506309.878400
2007-06-13,1100.850904,95113518.105600
2007-06-14,1107.070654,95650904.505600
2007-06-15,1112.413304,96112509.465600
2007-06-16,1117.033378,96511683.859200
2007-06-17,1121.137419,96866273.001600
2007-06-18,1124.735166,97177118.342400
2007-06-19,1127.836878,97445106.259200
2007-06-20,1130.453427,97671176.092800
2007-06-21,1132.596382,97856327.404800
2007-06-22,1134.278090,98001626.976000
2007-06-23,1135.511733,98108213.731200
2007-06-24,1136.311385,98177303.664000
2007-06-25,1136.692058,98210193.811200
2007-06-26,1136.669733,98208264.931200
2007-06-27,1136.261380,98172983.232000
2007-06-28,1135.484977,98105902.012800
2007-06-29,1134.359507,98008661.404800
2007-06-30,1132.904951,97882987.766400
2007-07-01,1131.142271,97730692.214400
2007-07-02,1129.093379,97553667.945600
2007-07-03,1126.781098,97353886.867200
2007-07-04,1124.229114,97133395.449600
2007-07-05,1121.461912,96894309.196800
2007-07-06,1118.504711,96638807.030400
2007-07-07,1115.383377,96369123.772800
2007-07-08,1112.124337,96087542.716800
2007-07-09,1108.754474,95796386.553600
2007-07-10,1105.301017,95498007.868800
2007-07-11,1101.791416,95194778.342400
2007-07-12,1098.253213,94889077.603200
2007-07-13,1094.713894,94583280.441600
2007-07-14,1091.200741,94279744.022400
2007-07-15,1087.740663,93980793.283200
2007-07-16,1084.339834,93686961.657600
2007-07-17,1080.986477,93397231.612800
2007-07-18,1077.680191,93111568.502400
2007-07-19,1074.420574,92829937.593600
2007-07-20,1071.207226,92552304.326400
2007-07-21,1068.039745,92278633.968000
2007-07-22,1064.917732,92008892.044800
2007-07-23,1061.840785,91743043.824000
2007-07-24,1058.808502,91481054.572800
2007-07-25,1055.820484,91222889.817600
2007-07-26,1052.876330,90968514.912000
2007-07-27,1049.975637,90717895.036800
2007-07-28,1047.118007,90470995.804800
2007-07-29,1044.303037,90227782.396800
2007-07-30,1041.530327,89988220.252800
2007-07-31,1038.799475,89752274.640000
2007-08-01,1036.110082,89519911.084800
2007-08-02,1033.461746,89291094.854400
2007-08-03,1030.854066,89065791.302400
2007-08-04,1028.286641,88843965.782400
2007-08-05,1025.759071,88625583.734400
2007-08-06,1023.270954,88410610.425600
2007-08-07,1020.821890,88199011.296000
2007-08-08,1018.411478,87990751.699200
2007-08-09,1016.039316,87785796.902400
2007-08-10,1013.705005,87584112.432000
2007-08-11,1011.408142,87385663.468800
2007-08-12,1009.148328,87190415.539200
2007-08-13,1006.925161,86998333.910400
2007-08-14,1004.738240,86809383.936000
2007-08-15,1002.587165,86623531.056000
2007-08-16,1000.433223,86437430.467200
2007-08-17,998.236635,86247645.264000
2007-08-18,995.995324,86053995.993600
2007-08-19,993.707117,85856294.908800
2007-08-20,991.369761,85654347.350400
2007-08-21,988.980933,85447952.611200
2007-08-22,986.538253,85236905.059200
2007-08-23,984.039297,85020995.260800
2007-08-24,981.481602,84800010.412800
2007-08-25,978.862682,84573735.724800
2007-08-26,976.180033,84341954.851200
2007-08-27,973.431143,84104450.755200
2007-08-28,970.613500,83861006.400000
2007-08-29,967.724599,83611405.353600
2007-08-30,964.761946,83355432.134400
2007-08-31,961.723071,83092873.334400
2007-09-01,958.605525,82823517.360000
2007-09-02,955.406890,82547155.296000
2007-09-03,952.124781,82263581.078400
2007-09-04,948.756850,81972591.840000
2007-09-05,945.300787,81673987.996800
2007-09-06,941.754325,81367573.680000
2007-09-07,938.115241,81053156.822400
2007-09-08,934.381354,80730548.985600
2007-09-09,930.550527,80399565.532800
2007-09-10,926.620667,80060025.628800
2007-09-11,922.589725,79711752.240000
2007-09-12,918.455689,79354571.529600
2007-09-13,914.216588,78988313.203200
2007-09-14,909.870486,78612809.990400
2007-09-15,905.415477,78227897.212800
2007-09-16,900.514888,77804486.323200
2007-09-17,894.873645,77317082.928000
2007-09-18,888.552356,76770923.558400
2007-09-19,881.611625,76171244.400000
2007-09-20,874.111892,75523267.468800
2007-09-21,866.113296,74832188.774400
2007-09-22,857.675540,74103166.656000
2007-09-23,848.857766,73341310.982400
2007-09-24,839.718443,72551673.475200
2007-09-25,830.315265,71739238.896000
2007-09-26,820.705060,70908917.184000
2007-09-27,810.943703,70065535.939200
2007-09-28,801.086049,69213834.633600
2007-09-29,791.185870,68358459.168000
2007-09-30,781.295802,67503957.292800
2007-10-01,771.467305,66654775.152000
2007-10-02,761.750633,65815254.691200
2007-10-03,752.194809,64989631.497600
2007-10-04,742.847621,64182034.454400
2007-10-05,733.755616,63396485.222400
2007-10-06,724.964112,62636899.276800
2007-10-07,716.517218,61907087.635200
2007-10-08,708.457867,61210759.708800
2007-10-09,700.827851,60551526.326400
2007-10-10,693.667876,59932904.486400
