date,water_m3_day
1987-07-01,334555300.512000
1987-07-02,335379960.604800
1987-07-03,336135422.592000
1987-07-04,336817888.934400
1987-07-05,337423598.294400
1987-07-06,337948827.782400
1987-07-07,338389892.611200
1987-07-08,338743148.515200
1987-07-09,339004992.960000
1987-07-10,339171864.019200
1987-07-11,339240243.139200
1987-07-12,339206654.275200
1987-07-13,339067664.928000
1987-07-14,338819886.057600
1987-07-15,338459971.478400
1987-07-16,337946189.817600
1987-07-17,337247181.158400
1987-07-18,336375277.113600
1987-07-19,335342924.640000
1987-07-20,334162684.569600
1987-07-21,332847227.894400
1987-07-22,331409334.643200
1987-07-23,329861888.784000
1987-07-24,328217876.064000
1987-07-25,326490378.307200
1987-07-26,324692569.958400
1987-07-27,322837711.948800
1987-07-28,320939146.684800
1987-07-29,319010291.654400
1987-07-30,317064633.379200
1987-07-31,315115720.243200
1987-08-01,313177154.630400
1987-08-02,311262586.012800
1987-08-03,309385701.446400
1987-08-04,307560218.400000
1987-08-05,305799873.868800
1987-08-06,304118416.166400
1987-08-07,302529593.433600
1987-08-08,301047144.566400
1987-08-09,299684786.774400
1987-08-10,298456205.299200
1987-08-11,297375040.540800
1987-08-12,296454876.912000
1987-08-13,295709228.496000
1987-08-14,295151526.950400
1987-08-15,294795107.078400
1987-08-16,294566672.908800
1987-08-17,294381721.180800
1987-08-18,294236630.092800
1987-08-19,294127698.873600
1987-08-20,294051161.174400
1987-08-21,294003197.424000
1987-08-22,293979946.233600
1987-08-23,293977515.888000
1987-08-24,293991995.145600
1987-08-25,294019462.656000
1987-08-26,294055996.723200
1987-08-27,294097684.291200
1987-08-28,294140628.633600
1987-08-29,294180957.388800
1987-08-30,294214830.076800
1987-08-31,294238443.456000
1987-09-01,294248037.830400
1987-09-02,294239903.443200
1987-09-03,294210383.932800
1987-09-04,294155879.875200
1987-09-05,294072855.350400
1987-09-06,293957836.560000
1987-09-07,293807418.048000
1987-09-08,293618262.009600
1987-09-09,293387101.315200
1987-09-10,293110737.868800
1987-09-11,292786045.372800
1987-09-12,292409966.131200
1987-09-13,291979511.740800
1987-09-14,291491760.758400
1987-09-15,290943856.195200
1987-09-16,290317993.689600
1987-09-17,289602452.995200
1987-09-18,288803469.945600
1987-09-19,287927183.865600
1987-09-20,286979648.889600
1987-09-21,285966843.984000
1987-09-22,284894681.846400
1987-09-23,283769018.841600
1987-09-24,282595662.777600
1987-09-25,281380380.854400
1987-09-26,280128906.489600
1987-09-27,278846946.316800
1987-09-28,277540185.628800
1987-09-29,276214293.907200
1987-09-30,274874929.747200
1987-10-01,273527744.659200
1987-10-02,272178386.611200
1987-10-03,270832502.880000
1987-10-04,269495742.729600
1987-10-05,268173757.929600
1987-10-06,266872205.779200
1987-10-07,265596747.552000
1987-10-08,264353049.619200
1987-10-09,263146782.153600
1987-10-10,261983617.401600
1987-10-11,260869229.510400
1987-10-12,259809289.257600
1987-10-13,258809463.014400
1987-10-14,257875407.993600
1987-10-15,257012767.929600
1987-10-16,256214240.035200
1987-10-17,255464417.116800
1987-10-18,254756885.961600
1987-10-19,254085457.132800
1987-10-20,253444243.420800
1987-10-21,252827732.851200
1987-10-22,252230854.780800
1987-10-23,251649035.625600
1987-10-24,251078249.318400
1987-10-25,250515059.299200
1987-10-26,249956651.520000
1987-10-27,249400862.006400
1987-10-28,248846195.520000
1987-10-29,248291835.321600
1987-10-30,247737647.577600
1987-10-31,247184177.212800
1987-11-01,246632634.604800
1987-11-02,246084876.144000
1987-11-03,245543377.017600
1987-11-04,245011195.785600
1987-11-05,244491930.921600
1987-11-06,243989670.960000
1987-11-07,243508934.793600
1987-11-08,243054607.219200
1987-11-09,242631863.683200
1987-11-10,242246088.806400
1987-11-11,241902787.996800
1987-11-12,241607490.076800
1987-11-13,241365642.048000
1987-11-14,241182497.289600
1987-11-15,241062995.203200
1987-11-16,241025337.676800
1987-11-17,241081892.179200
1987-11-18,241228514.880000
1987-11-19,241461024.364800
1987-11-20,241775196.883200
1987-11-21,242166757.363200
1987-11-22,242631375.264000
1987-11-23,243164657.318400
1987-11-24,243762143.558400
1987-11-25,244419302.304000
1987-11-26,245131527.484800
1987-11-27,245894134.147200
1987-11-28,246702356.812800
1987-11-29,247551346.886400
1987-11-30,248436172.310400
1987-12-01,249351816.009600
1987-12-02,250293175.632000
1987-12-03,251255064.672000
1987-12-04,252232213.420800
1987-12-05,253219270.435200
1987-12-06,254210804.265600
1987-12-07,255201308.208000
1987-12-08,256185201.600000
1987-12-09,257156835.350400
1987-12-10,258110496.172800
1987-12-11,259040412.374400
1987-12-12,259940758.608000
1987-12-13,260805663.993600
1987-12-14,261629218.166400
1987-12-15,262405479.052800
1987-12-16,263135235.657600
1987-12-17,263825096.284800
1987-12-18,264477852.950400
1987-12-19,265096329.465600
1987-12-20,265683381.609600
1987-12-21,266241895.920000
1987-12-22,266774791.334400
1987-12-23,267285017.980800
1987-12-24,267775556.918400
1987-12-25,268249421.088000
1987-12-26,268709654.102400
1987-12-27,269159331.456000
1987-12-28,269601558.451200
1987-12-29,270039472.358400
1987-12-30,270476240.947200
1987-12-31,270915062.918400
1988-01-01,273935392.300800
1988-01-02,274375404.000000
1988-01-03,274804021.872000
1988-01-04,275223806.121600
1988-01-05,275637345.292800
1988-01-06,276047251.084800
1988-01-07,276456157.488000
1988-01-08,276866716.809600
1988-01-09,277281597.686400
1988-01-10,277703479.123200
1988-01-11,278135050.406400
1988-01-12,278579004.796800
1988-01-13,279038036.332800
1988-01-14,279514837.497600
1988-01-15,280012092.307200
1988-01-16,280578103.286400
1988-01-17,281255769.158400
1988-01-18,282039657.436800
1988-01-19,282924323.020800
1988-01-20,283904304.998400
1988-01-21,284974122.758400
1988-01-22,286128271.670400
1988-01-23,287361220.320000
1988-01-24,288667407.225600
