date,water_m3_s,water_m3_day
1950-04-27,138.432735,11960588.304000
1950-04-28,137.607233,11889264.931200
1950-04-29,136.791821,11818813.334400
1950-04-30,135.988927,11749443.292800
1950-05-01,135.200934,11681360.697600
1950-05-02,134.430186,11614768.070400
1950-05-03,133.678986,11549864.390400
1950-05-04,132.949603,11486845.699200
1950-05-05,132.244273,11425905.187200
1950-05-06,131.565203,11367233.539200
1950-05-07,130.914575,11311019.280000
1950-05-08,130.294548,11257448.947200
1950-05-09,129.707261,11206707.350400
1950-05-10,129.154842,11158978.348800
1950-05-11,128.639405,11114444.592000
1950-05-12,128.163059,11073288.297600
1950-05-13,127.727913,11035691.683200
1950-05-14,127.336077,11001837.052800
1950-05-15,126.989668,10971907.315200
1950-05-16,126.882898,10962682.387200
1950-05-17,127.190135,10989227.664000
1950-05-18,127.883876,11049166.886400
1950-05-19,128.936808,11140140.211200
1950-05-20,130.321817,11259804.988800
1950-05-21,132.012006,11405837.318400
1950-05-22,133.980702,11575932.652800
1950-05-23,136.201470,11767807.008000
1950-05-24,138.648120,11979197.568000
1950-05-25,141.294719,12207863.721600
1950-05-26,144.115599,12451587.753600
1950-05-27,147.085362,12708175.276800
1950-05-28,150.178892,12975456.268800
1950-05-29,153.371359,13251285.417600
1950-05-30,156.638222,13533542.380800
1950-05-31,159.955239,13820132.649600
1950-06-01,163.298468,14108987.635200
1950-06-02,166.644270,14398064.928000
1950-06-03,169.969314,14685348.729600
1950-06-04,173.250578,14968849.939200
1950-06-05,176.465348,15246606.067200
1950-06-06,179.591223,15516681.667200
1950-06-07,182.606111,15777167.990400
1950-06-08,185.488228,16026182.899200
1950-06-09,188.216100,16261871.040000
1950-06-10,190.768556,16482403.238400
1950-06-11,193.124728,16685976.499200
1950-06-12,195.264045,16870813.488000
1950-06-13,197.166231,17035162.358400
1950-06-14,198.811294,17177295.801600
1950-06-15,200.179529,17295511.305600
1950-06-16,201.389272,17400033.100800
